key,owner,repo,number,url,title,author,base_ref,in_watchlist,tracking,state,is_draft,additions,deletions,changed_files,fetched_at,created_at,ready_at,draft_at_creation,first_review_at,first_changes_requested_at,internal_approved_at,external_approved_at,other_approved_at,merged_at,closed_at,hours_draft_total,hours_created_to_ready,ready_hours_to_first_review,ready_hours_to_internal_approval,ready_hours_to_external_approval,wall_hours_to_merge,changes_requested_count,review_rounds,distinct_reviewers,open_hours,event_count,history_runs,last_error,schema_version,first_internal_review_at,first_external_review_at,approval_path,ready_hours_to_internal_review,ready_hours_to_external_review,ready_hours_internal_to_external_approval
pytorch/ao#4477,pytorch,ao,4477,https://github.com/pytorch/ao/pull/4477, Refactor NVFP4Tensor: align the swizzle execution with the configured swizzle setting,xiaowangintel,main,True,active,OPEN,False,174,77,4,2026-09-18T16:21:43Z,2026-06-12T06:26:12Z,2026-06-12T06:26:12Z,False,2026-09-10T07:45:54Z,,2026-09-11T00:42:03Z,,,,,1852.82,0.0,308.51,325.45,,,0,1,2,2361.93,24,3,,1,2026-09-10T07:45:54Z,2026-09-11T14:00:53Z,internal_only,308.51,338.76,
pytorch/ao#4560,pytorch,ao,4560,https://github.com/pytorch/ao/pull/4560,"Implement `cat`, `transpose`, `mm` and `addmm` ops in Int8Tensor",draghan,main,True,active,OPEN,True,261,0,2,2026-09-18T16:21:43Z,2026-07-07T15:33:29Z,,True,2026-07-07T16:36:14Z,,2026-08-05T01:48:14Z,,,,,1752.8,,,,,,0,1,2,1752.8,4,3,,1,2026-07-09T05:35:15Z,2026-07-07T16:36:14Z,internal_only,,,
pytorch/ao#4576,pytorch,ao,4576,https://github.com/pytorch/ao/pull/4576,[xpu][test] Relax test_bf16_stochastic_round tolerance,karol-brejna-i,main,True,active,OPEN,False,2,1,2,2026-09-18T16:21:43Z,2026-07-16T06:55:29Z,2026-07-16T19:56:06Z,True,,,,,,,,13.01,13.01,,,,,0,0,0,1545.44,6,6,,1,,,none,,,
pytorch/ao#4628,pytorch,ao,4628,https://github.com/pytorch/ao/pull/4628,[xpu][test] Use device-agnostic device list in test_quantized_training,karol-brejna-i,main,True,active,OPEN,False,5,2,1,2026-09-18T16:21:43Z,2026-07-28T17:33:52Z,2026-08-03T11:51:52Z,True,2026-08-04T06:43:46Z,,,,,,,138.3,138.3,18.86,,,,0,0,1,1246.8,6,6,,1,,,none,,,
pytorch/ao#4629,pytorch,ao,4629,https://github.com/pytorch/ao/pull/4629,Make the QAT tests to be device agnostic,karol-brejna-i,main,True,active,OPEN,False,30,24,2,2026-09-18T16:21:43Z,2026-07-28T17:34:02Z,2026-08-03T11:51:58Z,True,2026-08-04T06:53:42Z,,2026-09-10T10:13:57Z,,,,,138.3,138.3,19.03,910.37,,,0,2,3,1246.79,18,6,,1,2026-09-10T03:19:41Z,2026-09-17T11:30:47Z,internal_only,903.46,1079.65,
pytorch/ao#4630,pytorch,ao,4630,https://github.com/pytorch/ao/pull/4630,[xpu][test] Enable int8 mixed-precision training tests (test/prototype/test_quantized_training.py) and register scaled_int8_mm for XPU,karol-brejna-i,main,True,active,OPEN,False,15,7,2,2026-09-18T16:21:43Z,2026-07-28T18:25:49Z,2026-08-03T11:52:04Z,True,2026-08-04T06:50:15Z,,,,,,,137.44,137.44,18.97,,,,0,0,1,1245.93,6,6,,1,,,none,,,
pytorch/ao#4636,pytorch,ao,4636,https://github.com/pytorch/ao/pull/4636,[xpu][test][float8] Enable test_float8_utils on XPU,karol-brejna-i,main,True,active,OPEN,False,4,3,1,2026-09-18T16:21:43Z,2026-07-29T07:25:31Z,2026-07-29T07:25:31Z,False,2026-08-04T07:03:44Z,,,,,,,10.81,0.0,132.82,,,,0,0,1,1232.94,7,6,,1,,,none,,,
pytorch/ao#4637,pytorch,ao,4637,https://github.com/pytorch/ao/pull/4637,[xpu][test][dtypes] Finish XPU enablement of test_affine_quantized_float,karol-brejna-i,main,True,active,OPEN,False,6,4,1,2026-09-18T16:21:43Z,2026-07-29T07:25:55Z,2026-07-29T07:25:55Z,False,2026-08-04T06:59:25Z,,,,,,,11.39,0.0,132.17,,,,0,0,1,1232.93,7,6,,1,,,none,,,
pytorch/ao#4660,pytorch,ao,4660,https://github.com/pytorch/ao/pull/4660,[test] Fix dead device comparison that disabled the SM80 bfloat16 skip in test/integration/test_integration.py,karol-brejna-i,main,True,active,OPEN,False,2,2,1,2026-09-18T16:21:43Z,2026-07-30T17:01:03Z,2026-07-31T10:28:57Z,True,2026-08-04T07:04:21Z,,,,,,,17.46,17.46,92.59,,,,0,0,1,1199.34,7,6,,1,,,none,,,
pytorch/ao#4731,pytorch,ao,4731,https://github.com/pytorch/ao/pull/4731,Enable MoE-ready Int4PlainInt32Tensor execution on XPU plain_int32,eryk-roch,main,True,final,CLOSED,True,768,4,3,2026-09-18T09:00:54Z,2026-08-10T14:02:29Z,2026-08-10T14:02:29Z,False,,,,,,,2026-09-17T01:52:37Z,874.57,0.0,,,,,0,0,0,899.84,13,1,,1,,,none,,,
pytorch/ao#4843,pytorch,ao,4843,https://github.com/pytorch/ao/pull/4843,Refactor MXTensor: replace is_swizzled_scales bool with SwizzleType class hierarchy,xiaowangintel,main,True,active,OPEN,True,258,60,13,2026-09-18T16:21:43Z,2026-08-28T02:44:16Z,2026-08-28T02:44:16Z,False,,,,,,,,509.68,0.0,,,,,0,0,0,517.62,7,3,,1,,,none,,,
pytorch/ao#4844,pytorch,ao,4844,https://github.com/pytorch/ao/pull/4844,Refactor MXTensor: align the swizzle execution with the configured swizzle setting,xiaowangintel,main,True,final,MERGED,False,284,146,6,2026-09-18T09:00:54Z,2026-08-28T12:00:46Z,2026-08-28T12:00:46Z,False,2026-08-28T12:43:17Z,,2026-08-28T12:43:17Z,2026-09-09T10:56:23Z,,2026-09-09T10:56:34Z,,0.0,0.0,0.71,0.71,286.93,286.93,0,3,2,286.93,24,1,,1,2026-08-28T12:43:17Z,2026-08-28T12:47:29Z,internal_first,0.71,0.78,286.22
